			Kierros1			Kierros2			Kierros3			Kierros4			Kierros5			Kierros6			Kierros7			Kierros8			Kierros9			Kierros10			Kierros11			Kierros12			Kierros13			Kierros14			Kierros15			Kierros16			Kierros17			Kierros18		
Tiimi	Pelaaja	Pts	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3
TKN	Nökerö	110	9		2																6	10			1			5	3				6	10	5			6			6			3		4	6	8	6	5						9
TSK	Tommi	109			10		2	6	4	7	4	2	4				6			7	6	8			5	8		4				2		1	5	6									4	4		2				2				
Procyon II	Olteri	108		4		8	3	3	9	8	6	1					6	5		3	7		3		2				8	4	6						9	2							5	6										
SK	TUKE NUKEM	108					2					2				9					3			4			5	2			4						10	5		10	4	5	6			7	2	10		9	4		5			
TOK	Anakonda	107		3			2					11		10		6		10	3	1	1		5			1				7	2		9	3	7					1	1			2	8	4			5			5				
SK	Kokitar	106			2			5		4	1			3	8			6	4				5			7	9	8						4	6				1	8	1				3		1	6		1		6		1	2	4
TKN	bruno	106	2	1		3		2						5				6	1	3	5		1							9		7	2		3	4	4			1	4				9			5			10			11	8	
YK-joukot	Klapa	104				1			1			1	6															8	9			1	2	11	3		1		5	4	9	6	6				9		10			6	1	4		
Team Tylsäkaira	Sepe Vaari	102		6		8	5				6			9		1	10			9		7			7	4												6	3										1	9	5		6			
YK-joukot	Cool	101	11						3						11		6	5			8	7	1				2			6		3	1					1	10				1						5		6		8	6		
PIPO	Arska.-	101					3		10		3					4	5								8		9			4		3		9	3			4			4		7			8		3						4		10
TOK	JUGI	96					9	1	1	8			9	6										5			2	2						7		5		3				1			6				9	8				4		10
Team Tylsäkaira	Pauhu	91			9		9	7		2	4					7		3	2			9		3				5			1								1	2	2	4		7		5	5							4		
YK-joukot	Metu	91	7	3			9		9		1						1			6	4	6			4	3		3					3					5				5	9			4								2	7	
Procyon II	Teemu	88	5							6			5	4	5										4		3				8	1		5		4									11		7		8		3		3	1	5	
Kiki	Seija	87	1				2	1	9								4	11		7				5					1			2	5		2	9	8						10			8						1	1			
Team Tylsäkaira	KuKa	87								6		1	3			2		7	1			1	10	7			9	4		7	5					1		2								7		5				5				4
Team Tylsäkaira	HaukiTerppa	86	3			9		7	3			10	6		7		1			6	7	8			2	5	3		1	5	3																									
Team Tylsäkaira	jani	86	2			3										9				6							9		8	1	9	3	2		9	6	9			7															3	
Team Tylsäkaira	Sohjokauha	86	10	11		6	7		4				11	4	4		3		3	2		3	6	1	4																					2									5	
SK	Pirkko	83				1			6		2			2					2	3	9		6			4			3			5			4				5	1		2		2	2		5		3	7		1		3	5	
YK-joukot	SiikaKeisari	81								1							7						3				7		10	3				6	9			3	4	3	11	8		3			3									
Kiki	Bacchus	81	8	3	10				10	1				5						2		10	8		3	3	3											6														2		6	1	
TOK	Kottage	80							7		3	4	6								3					10		5	7		9		1			1		1		10	10						3									
PIPO	Tarja	79			9			4				6	4			6	9		3			9											3		5				2					4								8			7	
Team Tylsäkaira	Matikkakoira	78							2	1		5		6	3		5					6		5		8	6	2			2				2		2		6									3		3		9			2	
PIPO	Raivohullu	77																				2		7		5	9			10				4		8	7		4		7				5		2			7						
Team Tylsäkaira	RiittaM	73	5	7		1	1											8				4											9												6		6	2	8		8		8			
NYKY	SatumiX	72			2						8			2		10		7					4														3	10	4		1										8		3	10		
TKN	-sla-	70	3		10		4				2			2		1		9	5							7			2							8		2	1										5			4		5		
Team Tylsäkaira	Sarina	70							1		1			3	1			2	4					4	8									10							4	3	2	10				9					2			6
SK	-heikki-	68	4										10						1					6				5	1	7		2		11		1					7										3	7				3
TSK	Pelekone	66			1					4							3	8					1					10	5	5			5		1			4	3	5											6					5
TOK	MD	65																1				5								9					8					7									11		10		7	6		1
SK	Kala-akka	59			2			1		7			1		6									10				1				4				2	1		7											10			7			
Kiki	Juze	57			7		7	3						2			3	3			3				1							11	3							5	2							3					3			1
Kiki	KEKE	56																			2	3		7	4	1	2	2				7													2			10	10		6					
TOK	Ipe	55	1			3								1											4		4					4	3	7					1	8		6	1				6	6								
YK-joukot	AK 48	50		9						4								1							9	10												7		6				1								3				
TOK	KalaKettu	48											3												8				4								9	10					4			8						2				
NYKY	Kairavastaava	46																											7							9			7	3			3		6			2		9						
TKN	Schape	44																																		7	3			10		8							2	9	1		1	2	1	
Procyon II	Kuke	43				2		6					9	1							10	3																	2									10								
TSK	Kesämies	41																		6											5										4		8			2	7							4	5	
TSK	Hawke20	37					1		1						9								6			6							9			2							3													
TKN	SaPaRo	32			7							7													11		1																											6		
SK	äijä	31																										4					7			5	3	3					9													
PIPO	Arska75	29		2		10																				4				8													5													
PIPO	aku ankka	26																																					5					3	2					5	8	2	1			
NYKY	Unelmien Murskaaja	24						9	3	4				1			7																																							
SK	Eikka	24							7									3																											4	1	4									5
TKN	Jake88	22		7		8		2		5																																														
PIPO	JMT	17				9				2				6																																										
TOK	LassiNou	16	7		8																		1																																	
PIPO	Dented	15												7						4		1							3																											
NYKY	BlackIce	14	6					8																																																
TSK	Loora	13																														7															1							5		
TSK	Leebuu	12		1	7																													4																						
TSK	WinterWoman	11																																																		3			8	
NYKY	Gandalf Harmaanieriä	9				4		5																																																
TSK	Leijona	7																																															3	4						
NYKY	Pätkis	4	4																																																					
